obloquy ['ɔbləkwi] n.大骂，公开斥责
offstage ['ɔ:f'steidʒ] adv./a.台后(的)，幕后(的)
ogle ['əuɡl] v.送秋波，色迷迷地看(女子)；n.媚眼
ointment ['ɔintmənt] n.油膏，软膏
olfaction [ɔl'fækʃən] n.嗅觉
oligarchy ['ɔliɡɑ:ki] n.寡头统治(政府权力集中在少数人手里)
omelet ['ɔmlit] n.煎蛋卷
ominous ['ɔminəs] a.不祥的，不吉利的
omit [əu'mit] v.省略，排除，删除；疏忽，忘记做，遗漏
omnipotent [ɔm'nipətənt] a.全能的，万能的；权利无限的
omnipresent [ɔmni'prezənt] a.无处不在的
omniscient [ɔm'nisiənt] a.无所不知的，博识的
onerous ['ɔnərəs] a.繁重的，麻烦的
onset ['ɔnset] n.(坏情况)开始，开端；攻击，袭击
opacity [əu'pæsiti] n.不透明性；晦涩，难懂
opalescence [,əupə'lesəns] n.(不透明的)乳白光
opaque [əu'peik] a.不透明的；难懂的
operative ['ɔpərətiv] a.(计划等)实施中的；生效的
operetta [,ɔpə'retə] n.小歌剧
opine [əu'pain] v.想，以为
opinionated [ə'pinjəneitid] a.固执己见的
opponent [ə'pəunənt] n.对手，敌手
opportune ['ɔpətju:n] a.合适的，适当的(尤指时机适时)
oppose [ə'pəuz] v.反对
oppress [ə'pres] v.压迫，压制
opprobrious [ə'prəubriəs] a.（言语）辱骂的，骂人的；可耻的
optimism ['ɔptimizəm] n.乐观主义
optimist ['ɔptimist] n.乐观主义者
optimum ['ɔptiməm] a.最好的，最有利的
optional ['ɔpʃənəl] a.可自由选择的
opulent ['ɔpjulənt] a.富裕的；充足的
oracle ['ɔrəkl] n.代神发布神谕的人
oration [ə'reiʃən] n.正式演说，演讲
oratorio [,ɔrə'tɔriəu] n.清唱剧(没有舞台行动、道具的戏剧)
oratory ['ɔrətəri] n.演讲术
orchard ['ɔ:tʃəd] n.果园
orchestra ['ɔ:kistrə] n.管弦乐队
ordain [ɔ:'dein] v.任命(神职)；颁发命令
ordeal [ɔ:'di:l] n.严峻考验，痛苦经验
ordinance ['ɔ:dinəns] n.法令，条例
ordnance ['ɔ:dnəns] n.大炮；军械，军用器材
ore [ɔ:(r)] n.矿，矿石
organism ['ɔ:ɡənizəm] n.生物；有机体
orient ['ɔ:riənt] a.上升的；v.确定方向；使熟悉情况
original [ə'ridʒənəl] a.最初的，原始的；有创意的
originality [,əridʒi'næliti] n.创造性，独特性
ornate [ɔ:'neit] a.(贬)华美的；充满装饰的，重度装饰的
ornithologist [,ɔ:ni'θɔlədʒist] n.鸟类学家，鸟类学者
ornithology [,ɔ:ni'θɔlədʒi] n.鸟类学
orthodontics [,ɔ:θəu'dɔntiks] n.畸齿矫正学
orthodox ['ɔ:θədɔks] a.正统的
oscillate ['ɔsileit] v.摆动；(思想、想法、感情)摇摆不定
osmosis [ɔz'məusis] n.渗透；(思想、观念)潜移默化
osseous ['ɔsiəs] a.骨的，多骨的
ossify ['ɔsifai] v.硬化，骨化；（贬）使(传统)僵化
ostensible [ɔs'tensəbl] a.表面上的
ostentation [,ɔsten'teiʃən] n.夸示，炫耀
ostracism ['ɔstrəsizəm] n.放逐，排斥(出某集团)
ostracize ['ɔstrəsaiz] v.放逐，排斥(出某集团)
ostrich ['ɔstritʃ] n.鸵鸟；不接受不利现实的人
other-directed ['ʌðədi'rektid] a.受人支配的
otter ['ɔtə] n.水獭
oust [aust] v.驱逐；把„赶走
outgoing ['autɡəuiŋ] a.友善的；即将离开的；即将离职的
outgrowth ['autɡrəuθ] n.自然结果；(某物上的)生长物
outlandish [aut'lændiʃ] a.古怪的
outlet ['autlet] n.出口
outline ['autlain] n.轮廓；梗概，要点，大纲
outmaneuver [autmə'nu:və(r)] v.以策略制胜
outmoded [aut'məudid] a.不再流行的
outrage ['autreidʒ] n.暴行
outset ['autset] n.开始，开头
outshine [aut'ʃain] v.比„更好，比„更出色
outskirts ['autskə:ts] n.郊区，郊外
outspoken [aut'spəukən] a.直言不讳的
outstrip [aut'strip] v.超过；(赛跑中)跑过，超过
outwit [aut'wit] v.以机智胜过
ovation [əu'veiʃən] n.热烈的欢迎、鼓掌
overbearing [,əuvə'beəriŋ] a.专横的，独断的
overdose ['əuvədəus] n.(药物)过大的剂量
overdue ['əuvə'dju:] a.过期未付的；逾期的
overexposure ['əuvəriks'pəuʒə] n.过分暴露，(照相)暴光过度
overflow ['əuvə'fləu] v.溢出；充满，洋溢
overhaul [,əuvə'hɔ:l] v.彻底检查；大修
overlap ['əuvə'læp] v.(部分地)重叠；(部分地)巧合
overlook [,əuvə'luk] v.忽视；俯视，从上往下看
overpowering [əuvə'pauriŋ] a.压倒性的，不可抗拒的
overreach [,əuvə'ri:tʃ] v.做事过头(而失败)
override [,əuvə'raid] v.不理会；蹂躏，践踏
overriding [,əuvə'raidiŋ] a.最主要的，优先的，首要的
overrule [,əuvə'ru:l] v.(高位的人)否决(低位的人或事)
oversee ['əuvə'si:] v.监督
overshadow [,əuvə'ʃædəu] v.遮蔽；使失色，使相形见绌
overstate ['əuvə'steit] v.夸张，对„言过其实
overt ['əuvə:t] a.公开的，非秘密的
overthrow [,əuvə'θrəu] v./n.推翻；终止
overture ['əuvətjuə] n.前奏曲，序曲
overturn [,əuvə'tə:n] v.翻倒；推翻，使垮台(尤指政府)
overwhelm ['əuvə'welm] v.泛滥；压倒
overwrought ['əuvə'rɔ:t] a.紧张过度的
owl [aul] n.猫头鹰
oxidize ['ɔksi,daiz] v.氧化，生锈
pacifist ['pæsifist] n.和平主义者，反战主义者
pacify ['pæsifai] v.使安静，抚慰
pack [pæk] n.狼群；(一起群居、捕猎的)一群动物
packed [pækt] a.充满人的，拥挤的
pact [pækt] n.协定，条约
padding ['pædiŋ] n.衬垫，填料
paean ['pi:ən] n.赞美歌，颂歌
pagan ['peiɡən] n.没有宗教信仰的人；异教徒(指不信犹太教、基督教、伊斯兰教恶人)
pageant ['pædʒənt] n.壮观的游行；露天历史剧
painkiller ['pein,kilə(r)] n.止痛药
painstaking ['peinsteikiŋ] a.煞费苦心的，辛苦的
palate ['pælit] n.上腭；口味，味觉；品位，爱好
palatial [pə'leiʃəl] a.宫殿般的；宏伟的
paleolithic [,pæliəu'liθik] a.旧石器时代的
paleontology [,pæliɔn'tɔlədʒi] n.古生物学
palette ['pælit] n.调色板，颜料配置
pall [pɔ:l] v.（因过多或过久而）令人发腻，失去吸引力
palliate ['pælieit] v.减轻(痛苦)；掩饰(罪行)
palliative ['pæliətiv] n.缓释剂；a.减轻的，缓和的
pallid ['pælid] a.苍白的，没血色的
palmy ['pa:mi] a.繁荣的；棕榈的
palpable ['pælpəbl] a.可触知的；明显的
palpitate ['pælpiteit] v.(心脏)急速而不规则地跳动
palter ['pɔ:ltə] v.含糊其词，说模棱两可的话，敷衍
paltry ['pɔ:ltri] a.无价值的，微不足道的
pamphlet ['pæmflit] n.小册子
pan [pæn] v.严厉批评
panacea [,pænə'siə] n.万灵药(能治百病的药)
panache [pə'næʃ] n.羽饰；炫耀
pancreas ['pænkriəs] n.胰腺
pandemic [pæn'demik] a.(病)大范围流行的
pandemonium [,pændi'məunjəm] n.喧嚣，大混乱
pander ['pændə] v.怂恿，迎合(不良欲望)
panegyric [,pæni'dʒirik] n.颂词，颂扬
panel ['pænl] n.专门小组；仪表板
pang [pæŋ] n.一阵剧痛
panic ['pænik] a.恐慌的；n.恐慌，惊惶
panorama [,pænə'rɑ:mə] n.概观，全景
panther ['pænθə] n.黑豹
pantomime ['pæntəmaim] n.哑剧
pantry ['pæntri] n.食品室
papyrus [pə'paiərəs] n.莎草，莎草纸(古埃及人用来书写的一种草纸)
parable ['pærəbl] n.寓言故事
parabola [pə'ræbələ] n.抛物线
paradigm ['pærədaim] n.范例，示范
paradox ['pærədɔks] n.矛盾；似矛盾而正确的说法
paragon ['pærəɡən] n.（褒）模范，典型
parallel ['pærəlel] a.平行的；类似的；n.平行线；v.与„相似
parallelism ['pærəlelizəm] n.平行，类似
parameter [pə'ræmitə] n.参量，变量
paramount ['pærəmaunt] a.最重要的，最高权力的
paranoia [,pærə'nɔiə] n.偏执狂；多疑症
paranoid ['pærənɔid] a.偏执狂的，过分怀疑的
paraphrase ['pærəfreiz] v.(将一段文字)释义
parasite ['pærəsait] n.（贬）靠他人为生的人；寄生物
parch [pɑ:tʃ] v.烘烤；烤焦
pare [peə] v.削皮；修剪；削减，缩减
pariah ['pæriə] n.贱民，被社会遗弃者
parity ['pæriti] n.(水平，地位，数量等的)同等，相等
parka ['pɑ:kə] n.派克大衣(毛皮风雪大衣)
parlance ['pɑ:ləns] n.说法，用语，词汇，术语
parody ['pærədi] n.模仿性嘲弄文章或表演；拙劣的模仿
paroxysm ['pærəksizəm] n.(感情等)突发
parquet ['pɑ:kei] n.镶木地板
parry ['pæri] v.挡开，避开(武器，问题等)
parse [pɑ:z] v.对„作语法分析
parsimony ['pɑ:siməni] n.过分节俭，吝啬
partial ['pɑ:ʃəl] a.局部的；偏袒的
partiality [,pɑ:ʃi'æliti] n.偏袒，偏心
particular [pə'tikjulə] n.事实，细节
particularize [pə'tikjuləraiz] v.详述，逐一列举
partisan [pɑ:ti'zæn] n.党派支持者；党徒
partition [pɑ:'tiʃən] n.隔开；隔墙
passionate ['pæʃənit] a.充满激情的
passive ['pæsiv] a.被动的，缺乏活力的，消极的
pastel ['pæsetl] n.彩色粉笔或蜡笔画；柔和的色彩
pasteurize ['pæstəraiz] v.加热杀菌，消毒
pastiche [pæs'ti:ʃ] n.(音乐、文学、艺术等)混合拼凑的作品
pastoral ['pɑ:stərəl] a.田园生活的；宁静的
pastry ['peistri] n.糕点，点心
patch [pætʃ] n.补丁；一小片(土地)
patent ['peitənt] a.显而易见的；n.专利权(证书)
pathogen ['pæθədʒ(ə)n] n.病原体
pathological [,pæθə'lɔdʒikəl] a.病态的；病理的
pathology [pə'θɔlədʒi] n.病理学
patina ['pætinə] n.（铜）绿锈；光亮的外表
patrician [pə'triʃən] n.贵族
patrimony ['pætriməni] n.祖传的财产
patriot ['pætriət] n.爱国者，爱国主义者
patriotism ['pætriətizəm] n.爱国主义，爱国心
patronage ['pætrənidʒ] n.赞助，惠顾
patronize ['pætrənaiz] v.以高人一等的态度对待，以恩人自居；(老顾客)光顾，惠顾
paucity ['pɔ:siti] n.小量，少量，缺乏
paunchy ['pɔ:ntʃi] a.(尤指男子)大肚子的
pauper ['pɔ:pə] n.贫民
peak [pi:k] v.憔悴，消瘦
pecan [pi'kæn] n.山核桃
peccadillo [pekə'diləu] n.小过失
peck [pek] v.啄食；轻啄
pedagogue ['pedəɡɔɡ] n.教师，教育者
pedagogy ['pedəɡɔɡi] n.教育学，教学法
pedal ['pedl] n.踏板，脚蹬；v.骑脚踏车
pedant ['pedənt] n.书呆子
pedestal ['pedistl] n.(柱石或雕像的)基座
pedestrian [pe'destriən] a.行人的，徒步的；缺乏想像的；n.行人
pediatrics [,pi:di'ætriks] n.（医）小儿科
peel [pi:l] v.削去„的皮；剥落；n.外皮
peer [piə] n.同等之人，同辈
peerless ['piəlis] a.无可匹敌的
peeve [pi:v] v.使气恼，使发脾气
peevish ['pi:viʃ] a.坏脾气的，易怒的（尤指对小事）
pejorative ['pi:dʒərətiv] a.带有轻蔑意义的，贬低的
pelf [pelf] n.（贬）钱财；不义之财
pell-mell [pel'mel] adv.混乱地，乱糟糟地
pellucid [pə'lju:sid] a.清晰的，清澈的
pen [pen] n.关动物的围栏；监禁；母天鹅
penalize ['penəlaiz] v.置(某人)于不利地位；处罚
penalty ['penlti] n.刑罚，处罚
penance ['penəns] n.自我惩罚
penchant ['pə:ŋʃə:nt] n.爱好，嗜好
pending ['pendiŋ] a.即将发生的；未决的
pendulum ['pendjuləm] n.摆，钟摆
penetrate ['penitreit] v.刺穿；渗入；了解，洞察
penicillin [,peni'silin] n.盘尼西林，青霉素
peninsula [pi'ninsjulə] n.半岛
penitent ['penitənt] a.后悔的，忏悔的
pennant ['penənt] n.(船上用的)信号旗
penultimate [pi'nʌltimit] a.倒数第二的
penury ['penjuri] n.贫穷；吝啬
perambulate [pə'ræmbjuleit] v.（以漫步）巡视；漫步
perception [pə'sepʃən] n.感觉；洞察力，理解力，悟性
perch [pə:tʃ] v.(鸟)栖息
percussionist [pə'kʌʃənist] n.敲击乐器的乐师
peregrination [periɡri'neiʃ(ə)n] n.游历(尤指在国外)
peremptory [pə'remptəri] a.(命令)不容反抗的，强制的；(人，举止)专横的
perennial [pə'renjəl] a.全年的；永久的
perfervid [pə:'fə:vid] a.非常热心的
perfidious [pə:'fidiəs] a.不忠的，背信弃义的
perfidy ['pə:fidi] n.不忠，背叛
perforate ['pə:fəreit] v.打洞，穿孔
perfunctorily [pə'fʌŋktrəli] adv.敷衍地，马虎地，例行地
perfunctory [pə'fʌŋktəri] a.草率的，敷衍的，马虎的，例行的
peril ['peril] n.危险
perilous ['periləs] a.危险的，冒险的
perimeter [pə'rimitə] n.周长
periodical [,piəri'ɔdikəl] n.期刊
peripatetic [,peripə'tetik] a.巡游的
peripheral [pə'rifərəl] a.不重要的；外围的
periphery [pə'rifəri] n.不重要的部分；外围
periscope ['periskəup] n.潜望镜
perish ['periʃ] v.死，毁灭
perishing ['periʃiŋ] a.严寒的
perjure ['pə:dʒə] v.作伪证，发假誓
perjury ['pə:dʒəri] n.作伪证，发假誓
perky ['pə:ki] a.神气的，活泼的
permanence ['pə:mənəns] n.永久，持久
permanent ['pə:mənənt] a.长久的，永久的
permeable ['pə:miəbl] a.可渗透的(penetrable)
permeate ['pə:mieit] v.扩散；渗透
permissive [pə(:)'misiv] a.过分纵容的
pernicious [pə:'niʃəs] a.有害的；致命的
perpendicular [,pə:pən'dikjulə] a.垂直的
perpetual [pə'petjuəl] a.连续不断的；永久的
perpetuate [pə(:)'petjueit] v.使永存，使永记不忘
perquisite ['pə:kwizit] n.固定津贴，利益，好处
persecute ['pə:sikju:t] v.(宗教、政治、宗族)迫害
persiflage [,peəsi'flɑ:ʒ] n.(善意的)嘲弄、玩笑
persistence [pə'sistəns] n.坚持不懈，持续
personable ['pə:sənəbl] a.英俊的，风度好的
personification [pə(:),sɔnifi'keiʃən] n.典型，化身，完美榜样
personnel [,pə:sə'nel] n.全体人员，员工
perspective [pə'spektiv] n.(判断事物的)角度，方法；透视法
perspicacious [,pə:spi'keiʃəs] a.判断力强的，有识别力的，有洞察力的，独具慧眼的
perspicuity [,pə:spi'kju(:)iti] n.(语言，文章)明晰，表达清楚；聪明睿智
perspicuous [pə(:)'spikjuəs] a.(语言，文章)明晰的，表达清楚的
perspire [pəs'paiə] v.流汗
pertain [pə'tein] v.属于，依附于；关于，与„有关联
pertinacious [,pə:ti'neiʃəs] a.固执的；无法驾御的；不妥协的
pertinent ['pə:tinənt] a.有关的，相关的；中肯的，恰当的
peruse [pə'ru:z] v.细读，精读
pervade [pə(:)'veid] v.弥漫，普及
pervious ['pə:viəs] a.可渗透的
pessimism ['pesimizm] n.悲观；悲观主义
pest [pest] n.害虫；讨厌的人或物
pester ['pestə] v.纠缠，强求
pesticide ['pestisaid] n.杀虫剂
pestilent ['pestilənt] a.致死的；有害的
pestle ['pestl] n.(捣碎或研磨用的)杵
petal ['petl] n.花瓣
petition [pi'tiʃən] n.请愿；请愿书
petitioner [pi'tiʃənə(r)] n.请愿人
petrify ['petri,fai] v.石化；吓呆
petroglyph ['petrəɡlif] n.(尤指史前)岩石雕刻
petroleum [pi'trəuliəm] n.石油
petrology [pi'trɔlədʒi] n.岩石学
petty ['peti] a.琐碎的，不重要的；小心眼的，气量小的
petulance ['petjuləns] n.发脾气，性急，暴躁
petulant ['petjulənt] a.性急的，暴躁的
phantom ['fæntəm] n.鬼怪，幽灵；幻像，幻觉
pharmaceutical [,fɑ:mə'sju:tikəl] a.制药的
pharmacology [,fɑ:mə'kɔlədʒi] n.药理学，药物学
phenomena [fə'nɔminə] n.(复数)现象；科学研究的现象
phenomenal [fi'nɔminl] a.显著的，非凡的，了不起的
philanthropic [filən'θrɔpik] a.博爱的
philatelist [fi'lætəlist] n.集邮家
philately [fi'lætəli] n.集邮
philistine ['filistain] n.庸俗之人，轻视艺术的人
phlegmatic [fleɡ'mætik] a.冷静的，冷淡的
phoenix ['fi:niks] n.凤凰，永生或再生的象征
phonetic [fəu'netik] a.语音的
photosynthesis [,fəutəu'sinθəsis] n.光合作用
physiological [,fiziə'lɔdʒikəl] a.生理的；生理学的
piano [pi'ɑ:nəu] a.(音乐)轻柔的
pictorial [pik'tɔ:riəl] a.绘画的；有图片的，用图片表示的
piddling ['pidliŋ] a.(贬)琐碎的，微不足道的
pied [paid] a.杂色的
pierce [piəs] v.刺透；穿过
piercing ['piəsiŋ] a.(寒风)刺骨的；(观察力)敏锐的
pigment ['piɡmənt] n.天然色素；干粉颜料
pilgrim ['pilɡrim] n.朝圣客，香客
pillar ['pilə] n.柱子
pillory ['piləri] n.颈手枷；示众，受公众嘲弄
pilot ['pailət] n.飞行员；领航员；领导人
pinch [pintʃ] v.捏，掐；n.一撮，一点
pine [pain] n.松树；v.(因疾病等)憔悴；渴望
pinnacle ['pinəkl] n.尖塔；山峰，顶峰
pinpoint ['pin,pɔint] v.精确地找出或描述；a.非常精确的
pious ['paiəs] a.(对宗教)虔诚的，尽责的
piquant ['pi:kənt] a.辛辣而开胃的；兴奋的
pique [pi:k] n./v.(因自尊心受伤害而导致的)不悦，愤怒；v.冒犯
pirate ['paiərit] n.海盗；剽窃者，盗版者；v.掠夺；盗印
pirouette [piru'et] n./v.(舞蹈)脚尖立地的旋转
pistol ['pistl] n.手枪
pitch [pitʃ] n.沥青，柏油；音调
pitcher ['pitʃə] n.有柄水罐
pitfall ['pitfɔ:l] n.陷阱，未料到的危险或困难
pith [piθ] n.精髓，要点
pithiness ['piθinis] n.简洁
pithy ['piθi] a.(讲话或文章)简练的
pitiful ['pitiful] a.值得同情的，可怜的
pittance ['pitəns] n.微薄的薪俸，少量的收入
placate [plə'keit] v.抚慰，平息(愤怒)
placebo [plə'si:bəu] n.(医)安慰剂
placid ['plæsid] a.安静的，平和的
plagiarism ['pleidʒiərizəm] n.剽窃，抄袭
plagiarize ['pleidʒiəraiz] v.剽窃，抄袭
plague [pleiɡ] n.瘟疫；讨厌的人或物；v.烦扰(尤指一再询问或要求)
plain [plein] a.简单的；清楚的；n.平原
plaintiff ['pleintif] n.原告
plaintive ['pleintiv] a.(听起来)哀伤的，伤心的
plait [plæt] n.发辫；v.编成辫
plane [plein] n.刨子；平面；v.刨
planet ['plænit] n.行星
plangent ['plændʒənt] a.(声音)轰鸣的；(声音)悲哀的
plankton ['plæŋkt(ə)n] n.浮游生物
plaque [plɑ:k] n.匾(用于纪念或装饰的饰板)；血小板
plaster ['plɑ:stə] n.灰泥，石膏；v.抹灰泥
plateau ['plætəu] n.高原；平稳的状态
platitude ['plætitju:d] n.陈词滥调
platonic [plə'tɔnik] a.理论的；纯精神上的，纯友谊的，没有感官性欲的
plaudit ['plɔ:dit] v.喝彩，赞扬
plausible ['plɔ:zəbl] a.似是而非的，似乎合理的；(贬)嘴巧的(尤指为行骗)
plead [pli:d] v.恳求；提出„为理由
pleat [pli:t] n.(衣服上的)褶
pledge [pledʒ] n.誓言，保证；v.发誓
plenitude ['plenitju:d] n.完全，充分；大量
plethora ['pleθərə] n.过量，过剩
pliable ['plaiəbl] a.易弯的，柔软的
pliant ['plaiənt] a.易受影响的；易弯的
plight [plait] n.困境，苦境
plinth [plinθ] n.(柱或雕像的)柱脚，底座
plod [plɔd] v.重步走；吃力地干
plot [plɔt] n.(戏剧、小说)情节；阴谋，策划
plough [plau] n.犁；v.用犁耕地
ploy [plɔi] n.花招，策略
pluck [plʌk] n.在困难面前足智多谋的勇气，胆量；精力；v.拔毛；弹拉(乐器)
plumb [plʌm] adv.恰恰，正好；v.深入了解，探究；用铅锤测水深；a.垂直的；n.铅锤
plumber ['plʌmbə] n.管子工，铅管工
plume [plu:m] n.羽毛；v.整理羽毛；为某事自喜、自豪
plummet ['plʌmit] v.垂直或突然坠下；n.测深锤
plunder ['plʌndə] v.抢劫，掠夺
plunge [plʌndʒ] v.投入，穿入，进入；俯冲
plush [plʌʃ] a.豪华的
plutocracy [plu:'tɔkrəsi] n.财阀统治
pod [pɔd] n.豆荚；v.剥掉(豆荚)
podiatrist [pəu'daiətrist] n.足医
podium ['pəudiəm] n.(乐队)指挥台
poignant ['pɔinənt] a.伤心的，心酸的；尖锐的
poise [pɔiz] v.使相等，使平衡；n.泰然自若，镇定
poisonous ['pɔiznəs] a.有毒的；有害的
poke [pəuk] v.刺，戳；嘲弄
polar ['pəulə] a.地极的，两极的；磁极的
polarity [pəu'læriti] n.(观点，看法)二极分化，对立；磁体极性
polarize ['pəuləraiz] v.使„两极分化
polemic [pɔ'lemik] n.争论，论战
polemical [pə'lemikəl] a.挑起论战的
polish ['pɔliʃ] v.把„擦光亮，抛光；n.上光剂，擦光剂；(态度等)优雅
poll [pəul] n.民意测验；选举投票
pollen ['pɔlin] n.花粉
pollinate ['pɔlineit] v.给„授粉
pollster ['pəulstə] n.民意测验家
pomposity [pɔm'pɔsiti] n.自大的行为，言辞
pompous ['pɔmpəs] a.自大的
poncho ['pɔntʃəu] n.斗篷，披风；雨衣
ponder ['pɔndə] v.仔细考虑
ponderable ['pɔndərəbl] a.可估量的
ponderous ['pɔndərəs] a.笨重的，笨拙的
pontifical [pɔn'tifikəl] a.(贬)自以为是的，自大的；武断的
pontificate [pɔn'tifikit] v.自大武断、自封为权威地做或说
populace ['pɔpjuləs] n.民众，老百姓
populous ['pɔpjuləs] a.人口稠密的
porcelain ['pɔ:slin] n.瓷；瓷器
porcupine ['pɔ:kjupain] n.豪猪，箭猪(身上长刺的猪)
pore [pɔ:] n.毛孔，气孔
porous ['pɔ:rəs] a.可渗透的；多孔的
portentous [pɔ:'tentəs] a.凶兆的，不祥的
portfolio [pɔ:t'fəuljəu] n.(皮制)文件夹，公事包；股份单
portray [pɔ:'trei] v.描绘，描述
pose [pəuz] v.摆姿势；造作，装腔作势
poseur [pəu'zə:] n.装模作样的人
posit ['pɔzit] v.断定，假定„为实
posse ['pɔsi] n.地方武装团队
possessed [pə'zest] a.着迷的；疯狂的
poster ['pəustə] n.海报，招贴画
postpone [pəust'pəun] v.使延期，推迟
postulate ['pɔstjuleit] v.假定；要求
posture ['pɔstʃə] n.姿势，体态；态度；v.(以不自然的方式)故作姿态
potable ['pəutəbl] a.适于饮用的
potation [pəu'teiʃən] n.饮，喝；饮料(尤指酒)
potentate ['pəutənteit] n.统治者，当权者
potential [pə'tenʃ(ə)l] a.潜在的，有可能性的
potentiate [pə'tenʃieit] v.加强(力量，效果)
potpourri [pəu'puri(:)] n.混杂物；杂文集
pottery ['pɔtəri] n.制陶；陶器
pout [paut] v.(表示不开心)噘嘴，板脸
practitioner [præk'tiʃənə] n.开业者，实习者；(尤指医学或法律界)从业人员
pragmatic [præɡ'mætik] a.实际的，实用主义的
prank [præŋk] n.恶作剧，玩笑
prate [preit] v.瞎扯，胡说；唠叨，喋喋不休
preach [pri:tʃ] v.传教，讲道
preamble [pri:'æmbl] n.(书，演讲)前言，序言；事情的先兆
precarious [pri'keəriəs] a.不稳固的，不安全的；不确定的，不稳定的
precede [pri(:)'si:d] v.在„之前，早于
precept ['pri:sept] n.箴言，格言
precipice ['presipis] n.悬崖
precipitant [pri'sipitənt] n.沉淀剂
precipitate [pri'sipiteit] v.加速，促成；a.鲁莽的
precipitation [pri,sipi'teiʃən] n.降水(量)
précis ['preisi:] n.摘要，大纲
precise [pri'sais] a.精确的
preclude [pri'klu:d] v.避免，排除，阻止
precocious [pri'kəuʃəs] a.(儿童)早熟的
precursor [pri(:)'kə:sə] n.先驱，先兆
predator ['predətə] n.食肉动物
predecessor ['pri:disesə] n.(职务、职位的)前任，前辈；原先的(被继承或被取代的)东西
predestine [pri'destin] v.注定
predicament [pri'dikəmənt] n.困境，窘境
predilection [,pri:di'lekʃən] n.偏爱，爱好
predisposition ['pri:,dispə'ziʃən] n.倾向，癖性
predominant [pri'dɔminənt] a.有势力的；极其显著的，盛行的
predominate [pri'dɔmineit] v.支配，统治；(数量、力量等)占优势
preeminent [pri(:)'eminənt] a.出类拔萃的
preempt [pri(:)'empt] v.以优先购买权取得；取代
preen [pri:n] v.(鸟)整理羽毛；(人)打扮修饰
preface ['prefis] n.序言
pregnant ['preɡnənt] a.怀孕的；充满的
prehistoric ['pri:his'tɔrik] a.史前的
prejudice ['predʒudis] n.偏见，成见；v.使产生偏见
preliminary [pri'liminəri] a.预备的；(某一重要行动或事情)初步的，开始的
preliterate [,pri'litərit] a.文字出现以前的
prelude ['prelju:d] n.(行动，事情的)序幕，前奏
premature [premə'tjuə] a.过早的，提前的；早产的
premeditate [pri(:)'mediteit] v.预先设想，预谋
premeditated [pri(:)'mediteitid] a.预谋的，事先计划的
premiere ['premieə] n./v.(电影，戏剧)首次公演
premise ['premis] n.(推理所依据的)前提
premium ['primjəm] n.保险费；奖金
premonition [,pri:mə'niʃən] n.预感，预兆
preoccupation [pri(:),ɔkju'peiʃən] n.全神贯注；使人专注的东西
preponderate [pri'pɔndəreit] v.(重量上，重要性上)压倒，超过
preposition [,prepə'ziʃən] n.介词，前置词
preposterous [pri'pɔstərəs] a.荒谬的，完全违背常理的
prerequisite ['pri:'rekwizit] n.先决条件，必备条件
prerogative [pri'rɔɡətiv] n.特权
