foible ['fɔibl] n.小缺点，小毛病
forte [fɔ:t] n.长处，擅长；a.(音乐)强音的
forthright ['fɔ:θ'rait] a.直率的
fortify ['fɔ:tifai] v.加强防卫
fortitude ['fɔ:titju:d] n.(在痛苦、困难前表现出的)坚毅，坚韧不拔
fortuitous [fɔ:'tju(:)itəs] a.偶然的，意外的；幸运的
forum ['fɔ:rəm] n.辩论的场所，讲坛
forward ['fɔ:wəd] a.过激的，莽撞的
fosse [fɔs] n.护城河
fossilize ['fɔsilaiz] v.使„成为化石；使„过时
foster ['fɔstə] v.培养，鼓励；领养（孩子）
foul [faul] a.恶臭的；邪恶的；v.弄脏；n.(体育等)犯规
founder ['faundə] v.(船)沉没；(计划)失败
four-poster [,fɔ:'pɔstə(r)] n.有四柱的床
foyer ['fɔiei] n.门厅，休息室
fracas ['frekəs] n.大声争吵，打闹
fraction ['frækʃən] n.碎片；小部分
fractious ['frækʃəs] a.(脾气)易怒的，好争吵的
fracture ['fræktʃə] n.骨折；折断；裂口
fragile ['frædʒail] a.易碎的，易坏的
fragment ['fræɡmənt] n.碎片；分裂
fragrance ['freiɡrəns] n.香料；香味
fragrant ['freiɡrənt] a.芳香的；愉快的
frail [freil] a.（物）易破碎的，脆弱的；（人身体）不坚实的
frantic ['fræntik] a.疯狂的，狂乱的
fraud [frɔ:d] n.欺诈，欺骗；骗子
fraudulent ['frɔ:djulənt] a.欺骗的，不诚实的
fraught [frɔ:t] a.充满„的
freckle ['frekl] n.雀斑，斑点
freelancer ['fri:lɑ:nsə] n.自由职业者
freight [freit] n.货物；v.装货于(船等)
frenetic [fri'netik] a.狂乱的，发狂的
frenzy ['frenzi] n.极度激动的状态，狂暴
frequency ['fri:kwənsi] n.频率
frequent ['fri:kwənt] v.时常来访；a.惯常的
fresco ['freskəu] n.墙未干时绘制的壁画
fret [fret] n./v.(使)烦躁，焦虑
friable ['fraiəbl] a.易碎的
friction ['frikʃən] n.（物）摩擦；（人观念）矛盾，冲突
frieze [fri:z] n.(在墙顶与天花板间起装饰作用的)横条，饰带
frigid ['fridʒid] a.寒冷的；(人)冷淡的，不热情的
frigidity [fri'dʒiditi] n.寒冷；冷淡
fringe ['frindʒ] n.(窗帘等)须边；边缘
frisky ['friski] a.活泼的，快活的
frivolous ['frivələs] a.轻浮的，不严肃的
frond [frɔnd] n.羊齿、棕榈等的叶子
frothy ['frɔθi] a.起泡的；(文)空洞的
frugal ['fru:ɡəl] a.节约的，节俭的
fruition [fru(:)'iʃən] n.（希望、计划）实现，完成
frustrate [frʌs'treit] v.使受挫；使沮丧；使失败
fulcrum ['fʌlkrəm] n.杠杆支点，支柱
fulfil [ful'fil] v.履行；满足，符合
full-blown ['ful'bləun] a.(鲜花)盛开的
full-bodied ['ful'bɔdid] a.(味道等)浓郁而强烈的
full-fledged ['ful'fledʒd] a.羽毛丰满的；成熟的
fulminate ['fʌlmineit] v.猛烈抨击，严厉谴责
fulsome ['fulsəm] a.虚情假意的；充足的
fumble ['fʌmbl] v.摸索，笨拙搜寻；弄乱，搞糟
fume [fju:m] v./n.愤怒；冒烟
fumigate ['fju:miɡeit] v.以烟熏消毒
functional ['fʌŋkʃənl] a.起作用的，能运转的；实用的
functionary ['fʌŋkʃənəri] n.小官，低级公务员
fundamental [,fʌndə'mentl] a.最根本的，基本的；十分重要的
fungi ['fʌndʒai] n.菌类，蘑菇
fungicide ['fʌndʒisaid] n.杀真菌剂
furnace ['fə:nis] n.锅炉
furor ['fjuərɔ:] n.轰动；盛怒
furrow ['fʌrəu] n.犁沟(用犁耕作后地上留下的沟)；皱纹
furtive ['fə:tiv] a. 偷偷的，秘密的
fusillade ['fju:zi,leid] n./v. (枪炮)齐射，连发
fusion ['fju:ʒən] n.熔合；聚变
fuss [fʌs] n.大惊小怪
fussy ['fʌsi] a.爱挑剔的
fusty ['fʌsti] a.老式的，陈腐的；霉臭的
futile ['fju:tail] a.无效的，无用的；（人）没出息的；琐细的
futility [fju:'tiləti] n.无用，无益
gadfly ['ɡædflai] n.虻，牛虻；令人讨厌的人(尤指用批评等手段怂恿别人采取行动者)
gadget ['ɡædʒit,'ɡædʒət] n.小工具，小机械
gaffe [ɡæf] n.(社交上令人不快的)失言，失态
gaggle ['ɡæɡl] n.鹅群
gainsay [ɡein'sei] v.否认
gait [ɡeit] n.步法，步态
galaxy ['ɡæləksi] n.(银河)星群；显赫的人群
gall [ɡɔ:l] n.胆汁；怨恨
gallant ['ɡælənt] a.勇敢的；(向女人)献殷勤的
galley ['ɡæli] n.船上的厨房
gallon ['ɡælən] n.加仑
galvanize ['ɡælvənaiz] v.电镀；通电；激励
gamble ['ɡæmbl] v./n.赌博；孤注一掷
gambol ['ɡæmbəl] n./v.雀跃，嬉戏
gangway ['ɡæŋwei] n.(上下船的)跳板
gape [ɡeip] v.裂开；目瞪口呆地凝视
garble ['ɡɑ:bl] v.曲解，窜改
garbled ['ɡɑ:bld] a.引起误解的；窜改的
gardenia [ɡɑ:'di:niə] n.栀子花
gargantuan [ɡɑ:'ɡæntjuən] a.巨大的，庞大的
gargoyle ['ɡɑ:ɡɔil] n.(雕刻成怪兽状的)滴水嘴；面貌丑恶的人
garish ['ɡæriʃ] a.俗丽的，过于艳丽的
garment ['ɡɑ:mənt] n.衣服
garner ['ɡɑ:nə] v.收藏，积累
garnish ['ɡɑ:niʃ] v.装饰
garrulity [ɡə'ru:liti] n.唠叨，饶舌
garrulous ['ɡæruləs] a.唠叨的，多话的
gaseous ['ɡæsiəs] a.似气体的
gash [ɡæʃ] n.深长的伤口
gasification [,ɡæsifi'keiʃən] n.气化
gaucherie [ɡəuʃə'ri:] n.笨拙
gaudy ['ɡɔ:di] a.俗丽的
gauge [ɡeidʒ] n.标准规格(尤指宽度或厚度)；测量仪；v.测量
gavel ['ɡævəl] n.(法官所用的)槌，小木槌
gaze [ɡeiz] v./n.凝视，注视
gazetteer [,ɡæzi'tiə] n.地名词典，地名表
gear [ɡiə] n.齿轮；装备；仪器
gem [dʒem] n.宝石，珠宝；精华，珍品
gene [dʒi:n] n.基因
genealogy [,dʒi:ni'ælədʒi] n.家谱学
generality [,dʒenə'ræliti] n.概述
generalize ['dʒenərəlaiz] v.归纳
generate ['dʒenə,reit] v.造成；产生
generation [,dʒenə'reiʃən] n.一代人；(产品类型的)代；产生，发生
generator ['dʒenəreitə] n.发电机
generic [dʒi'nerik] a.种类的，类属的
generosity [,dʒenə'rɔsiti] n.慷慨，大方
genesis ['dʒenisis] n.创始，起源
genetic [dʒi'netik] a.遗传的；起源的
genetics [dʒi'netiks] n.遗传学
genial [dʒi'naiəl] a.愉快的，脾气好的
genome ['dʒi:nəum] n.(生)基因组，染色体组
genre ['ʒɑ:nrə] n.(文艺的)类型
genteel [dʒen'ti:l] a.上流社会的；(做作或过分显示)有礼貌的，装作彬彬有礼的
gentle ['dʒentl] a.温和的，慈祥的
gentry ['dʒentri] n.绅士，上等人(身份仅次于贵族)
genuine ['dʒenjuin] a.真的；真诚的
genus ['dʒi:nəs] n.(动植物的)属
geometrician [,dʒiəumə'triʃən] n.几何学家
germ [dʒə:m] n.胚芽，芽孢；微生物，细菌
germane [dʒə:'mein] a.有密切关系的；贴切的
germicide ['dʒə:misaid] n.杀菌剂
germinate ['dʒə:mineit] v.发芽；发展
gerontocracy [dʒerən'tɔkrəsi] n.老人统治的政府
gerontology [,dʒerən'tɔlədʒi] n.老人病学
gerrymander ['dʒerimændə] v.(为使某政党在选举中取得优势)不公正地将(某地区)划成选区
gesture ['dʒestʃə] n.姿势，手势，姿态
geyser ['ɡaizə] n.天然热喷泉
gibe [dʒaib] n./v.嘲弄，讥笑
giddy ['ɡidi] a.轻浮的，不严肃的
giggle ['ɡiɡl] v.咯咯笑
gild [ɡild] v.镀金；虚饰(给人以好看但欺骗性的外观)
gimmick ['ɡimik] n.吸引人的花招，噱头
ginger ['dʒindʒə] n.姜；活力
gingerly ['dʒindʒəli] adj./adv.小心的(地)；谨慎的(地)
girder ['ɡə:də] n.大梁
girth [ɡə:θ] n.(人)腰身；周长
gist [dʒist] n.要点，要旨
glacial ['ɡleisjəl] a.冰期的，冰河期的；寒冷的
glade [ɡleid] n.林中的空地
gladiator ['ɡlædieitə] n.(古罗马)角斗士，与野兽搏斗者
glance [ɡlɑ:ns] v./n.一瞥
glare [ɡleə] v.发出眩目光芒；怒目而视
glaze [ɡleiz] v.装玻璃于；上釉彩；n.釉(薄而亮的透明表面)
glean [ɡli:n] v.拾落在地里的谷物；(来源广，零碎而费力地)收集(情报、信息、材料等)
glib [ɡlib] a.(演说)流利圆滑的，善辩的
glide [ɡlaid] v.滑行，滑动
glimmer ['ɡlimə] v.发微光；n.摇曳的微光
glisten [ɡlisn] v.(潮湿或光洁的物体表面反射)闪烁，闪耀
glitch [ɡlitʃ] n.小故障
gloat [ɡləut] v.幸灾乐祸地看，窃喜
gloom [ɡlu:m] n.黑暗；忧郁
gloomy ['ɡlu:mi] a.(使人恐惧或沮丧)阴暗的；没有希望的；阴郁的
gloss [ɡlɔs] n.光泽；注解
glossary ['ɡlɔsəri] n.词汇表；难词表(术语或专业词语汇编)
glossy ['ɡlɔsi] a.有光泽的，光滑的
glow [ɡləu] v./n.发光，发热；(脸)红
glower ['ɡlauə] v.怒目而视
glowing ['ɡləuiŋ] a.热情赞扬的
glucose ['ɡlu:kəus] n.葡萄糖
glut [ɡlʌt] v./n.过多；供过于求
glutinous ['ɡlu:tinəs] a.粘的，胶状的
gluttonous ['ɡlʌtənəs] a.贪吃的，贪嘴的
gnarled [nɑ:ld] a.(树木)多节的；粗糙的
gnaw [nɔ:] v.一口口啃，咬
goad [ɡəud] n.赶牛棒；v./n.刺激，激励
gobble ['ɡɔbl] v.快速贪婪地吃，狼吞虎咽
goblet ['ɡɔblit] n.高脚酒杯
goldbrick ['ɡəuldbrik] v.逃避责任，偷懒
gong [ɡɔŋ] n.锣
goodwill [ɡud'wil] n.友好，好意
gorge [ɡɔ:dʒ] n.峡谷
gorilla [ɡə'rilə] n.非洲大猩猩
gospel ['ɡɔspəl] n.教义，信条
gossamer ['ɡɔsəmə] n.蛛丝；薄纱；a.轻而薄的
gouge [ɡaudʒ] n.半圆凿；v.(用利器或手从物体表面)挖出；骗钱，敲竹杠
gourmand ['ɡuəmənd] n.(贬)嗜食者
gourmet ['ɡuəmei] n.美食家
grace [ɡreis] n.优美(尤指动作顺畅协调)
gracious ['ɡreiʃəs] a.大方的，和善的；奢华的
gradation [ɡrə'deiʃən] n.渐变；阶段，等级
graduated ['ɡrædʒuətid] a.按等级(高度，困难等)分的
graft [ɡrɑ:ft] v./n.嫁接；贪污
grain [ɡrein] n.谷物；小的硬粒
grandeur ['ɡrændʒə] n.壮丽，伟大
grandiose ['ɡrændiəus] a.(贬)大而宏伟的；夸大的
grandstand ['ɡrændstænd] n.大看台；v.哗众取宠(为博取观众喝彩而卖弄)
granite ['ɡrænit] n.花岗石
grant [ɡrɑ:nt] v.同意给予
graphic ['ɡræfik] a.图表的；生动的
graphite ['ɡræfait] n.石墨
grasping ['ɡrɑ:spiŋ] a.贪心的，贪婪的
grate [ɡreit] v.发出“吱嘎”声；磨碎；使人烦躁
grateful ['ɡreitful] a.感激的
gratification [,ɡrætifi'keiʃən] n.满足，喜悦
gratify ['ɡrætifai] v.使满足，使高兴
grating ['ɡreitiŋ] a.(声音)刺耳的；恼人的
gratitude ['ɡrætitju:d] n.感激
gratuitous [ɡrə'tju(:)itəs] a.无缘无故的；免费的
gratuity [ɡrə'tju(:)iti] n.赏钱，小费
grave [ɡreiv] a.严重的，严峻的；n.墓穴
gravel ['ɡrævəl] n.碎石，砂砾
gravitational [,ɡrævi'teiʃənəl] a.万有引力的
gravity ['ɡræviti] n.严肃性，重要性，正经；引力，重力
graze [ɡreiz] v.(动物)吃(地上长的)草；放牧
grease [ɡri:s] n.(炼出的)动物油脂；滑脂
green [ɡri:n] a.未成熟的，无经验的
greenhouse ['ɡri:nhaus] n.花房，温室
gregarious [ɡre'ɡeəriəs] a.群居的；爱社交的
gregariousness [ɡre'ɡeəriəsnis] n.群居；合群
grenade [ɡri'neid] n.手榴弹
grief [ɡri:f] n.忧伤，悲伤
grievance ['ɡri:vəns] n.牢骚，抱怨，委屈
grieve [ɡri:v] v.使某人极为悲伤
grievous ['ɡri:vəs] a.严重伤害的
grill [ɡril] v.烤；拷问；n.烤架
grim [ɡrim] a.(表情)冷酷的，严厉的，可怕的
grimace [ɡri'meis] v./n.做鬼脸，面部歪扭
grin [ɡrin] v.露齿而笑
grind [ɡraind] n.枯燥乏味的工作；v.磨碎，碾碎
gripe [ɡraip] v.唠叨地抱怨
gripping ['ɡripiŋ] a.紧紧抓住注意力的
grisly ['ɡrizli] a.恐怖的，可怕的
gristle ['ɡrisl] n.软骨，肉中难吃的硬组织
grit [ɡrit] n.沙粒；决心，勇气；v.下定决心，咬紧牙关
groan [ɡrəun] v./n.呻吟，哀叹
groom [ɡru:m] n.马夫；新郎
groove [ɡru:v] n.凹线，沟，槽；(刻出的)线条；习惯
grope [ɡrəup] v.摸索，探索
gross [ɡrəus] a.总的；举止粗鲁的，无教养的；n.整个，全部
grotto ['ɡrɔtəu] n.小洞穴
grouch [ɡrautʃ] n.牢骚，不满
grounded ['ɡraundid] a.有理由的；adv.地面上
group [ɡru:p] v.使„集合；n.群，集
grouse [ɡraus] n.松鸡；v.牢骚，诉苦
grove [ɡrəuv] n.小树林，树丛
grovel ['ɡrɔvl] v.摇尾乞怜，奴颜婢膝
grueling ['ɡruəliŋ] a.繁重而累人的
grumble ['ɡrʌmbl] v.喃喃诉苦，发怨言
guarantee [,ɡærən'ti:] v.保证，担保
guffaw [ɡʌ'fɔ:] n./v.哄笑，大笑
guile [ɡail] n.欺诈，狡猾
guileless ['ɡaillis] a.厚道的，老实的
guillotine ['ɡiləti:n] n.断头台
guilt [ɡilt] n.罪行；内疚
guilty ['ɡilti] a.有罪的
guise [ɡaiz] n.外观，装束
gullible ['ɡʌlibl] a.易受骗的
gully ['ɡʌli] n.雨水冲成的沟壑
gulp [ɡʌlp] v.快速贪婪地吞食
gum [ɡʌm] n.树胶，橡皮
guru ['ɡuru:] n.古鲁(印度的宗教领袖)；(受尊敬的)教师或权威
gush [ɡʌʃ] v.涌出；滔滔不绝地说
gusher ['ɡʌʃə] n.喷油井；滔滔不绝的说话者
gust [ɡʌst] n.阵风；一阵(情绪)
gustation [ɡʌs'teiʃən] n.品尝；味觉
gustatory ['ɡʌstətəri] a.有关味觉的，品尝的
gutter ['ɡʌtə] n.水槽；街沟
guy [ɡai] n.(铁塔等的)支索，牵索
guzzle ['ɡʌzl] v.大吃大喝
gyrate ['dʒaiərit] a.旋转的；v.旋转
habitat ['hæbitæt] n.自然环境，栖息地
habituate [hə'bitjueit] v.使习惯于
hack [hæk] v.乱劈，乱砍；n.受雇佣的文人
hackneyed ['hæknid] a.陈腐的，老生常谈的
hail [heil] n.冰雹；v.致敬
halcyon ['hælsiən] a.平静的；愉快的
hale [heil] a.(尤指老人)健壮的，矍铄的
halfhearted ['hɑ:f'hɑ:tid] a.不认真的，不热心的
hallmark ['hɔ:lmɑ:k] n.(在金银上的)纯度印记；特征
hallow ['hæləu] v.把„视为神圣，尊敬
hallowed ['hæləud] a.神圣的
hallucination [həlu:si'neiʃən] n.幻听，幻视
halo ['heiləu] n.(日、月等)晕，神像之光环
halting ['hɔ:ltiŋ] a.踌躇的，吞吞吐吐的
hammer ['hæmə] n.锤子，槌
hamper ['hæmpə] v.妨碍，阻挠；n.有盖提篮
handle ['hændl] n.柄，把手；v.处理
hangar ['hæŋə] n.(存放或修理飞机的)飞机库
hangdog ['hæŋdɔɡ] a.忧愁的；羞愧的
hankering ['hæŋkəriŋ] n.渴望
haphazard ['hæp'hæzəd] a.无计划的、无秩序的、任意的
harangue [hə'ræŋ] n.[贬]长篇指责性演说
harass ['hærəs] v.不断侵扰，不断烦忧
harbinger ['hɑ:bindʒə] n.先驱，先兆
harbor ['hɑ:bə] n.港，避难所；v.包庇，隐匿
harden ['hɑ:dn] v.变硬，变坚强
hardheaded [hɑ:d'hedid] a.(商业上)讲究实际的，不感情用事的
hardy ['hɑ:di] a.耐寒的；强壮的
harmony ['hɑ:məni] n.相符，一致；协调，匀称
harness ['hɑ:nis] n.马具；v.束以马具；控制并利用
harp [hɑ:p] n.竖琴；v.喋喋不休地说或写
harpsichord ['hɑ:psikɔ:d] n.键琴(钢琴前身)
harridan ['hæridən] n.脾气暴躁的老妇
harrow ['hærəu] n.耙；v.使痛苦
harrowing ['hærəuiŋ] a.悲痛的，难受的
harry ['hæri] v.掠夺；袭扰，折磨
harsh [hɑ:ʃ] a.严厉的；粗糙的；刺耳的
harshly ['hɑ:ʃli] adv.严酷地，无情地
hasten ['heisn] v.急忙；催促，促进
hasty ['heisti] a.急急忙忙的
hatch [hætʃ] n.船舱盖；v.孵化
haughty ['hɔ:ti] a.傲慢的，自大的
haunt [hɔ:nt] v.常去；鬼魂出没；(事情)萦绕心头；n.常去的地方
hauteur [əu'tə:] n.傲慢
haven ['heivn] n.安息所，避难所
havoc ['hævək] n.大破坏
hawk [hɔ:k] n.隼，鹰
hazard ['hæzəd] n.危险
hazardous ['hæzədəs] a.危险的
headlong ['hedlɔŋ] adj./adv.轻率的(地)，迅猛的(地)
headstrong ['hedstrɔŋ] a.刚愎自用的
headway ['hedwei] n.进步，进展
heal [hi:l] v.治愈
hearken ['hɑ:kən] v.倾听
hearten ['hɑ:tn] v.鼓励，激励
heartrending ['hɑ:trendiŋ] a.令人心碎的
heckle ['hekl] v.诘问，困扰
hectic ['hektik] a.兴奋的，繁忙的，忙乱的
hector ['hektə] v.威吓
hedge [hedʒ] n.树篱；限制
hedonist ['hi:dəunist] n.享乐主义者
heed [hi:d] v.注意，留心；n.注意，关心
hegemony [hi(:)'ɡeməni] n.霸权，领导权
heinous ['heinəs] a.十恶不赦的
heir [eə] n.继承人
heirloom ['eəlu:m] n.传家宝
helmet ['helmit] n.头盔，钢盔
hem [hem] v.包围；n.袖边，边缘；interj.(用以引起注意的)咳嗽清桑声
hemisphere ['hemisfiə] n.半球
hemophilia [,hi:mə'filiə] n.血友病，出血不止的病
hemorrhage ['heməridʒ] n.出血(尤指大出血)
hemostat ['hi:məstæt] n.止血器；止血剂
herbaceous [hə:'beiʃəs] a.草本植物的
herbicide ['hə:bisaid] n.除草剂
herbivorous [hə:'bivərəs] a.食草的
herd [hə:d] n.兽群；v.聚集
hereditary [hi'reditəri] a.世袭的
heresy ['herəsi] n.异端邪说
heretic ['herətik] n.异教徒
heretical [hi'retikəl] a.异端邪说的
hermetic [hə:'metik] a.密封的；深奥的
hermit ['hə:mit] n.隐士，修道者
herpetologist [,hə:pətə'lɔdʒist] n.爬行动物学家
heterodox ['hetərəudɔks] a.异端的，非正统的
heterogeneous [,hetərəu'dʒi:niəs] a.异类的，不同的
hew [hju:] v.砍伐；遵守
hexagon ['heksəɡən] n.六角形，六边形
hiatus [hai'eitəs] n.空隙，裂缝
hibernate ['haibəneit] v.冬眠，蛰伏
hide [haid] n.兽皮
hidebound ['haidbaund] a.顽固的，守旧的，心胸狭窄的
hideous ['hidiəs] a.讨厌的，丑恶的
hie [hai] v.疾走，催促
hierarchy ['haiərɑ:ki] n.阶层；等级制度
hieroglyph ['haiərəɡlif] n.象形文字，图画文字
hieroglyphic [,haiərə'ɡlifik] n.象形文字
highbrow ['haibrau] n.自以为文化修养很高的人
hike [haik] v.高涨，上升；n.徒步旅行
hilarious [hi'leəriəs] a.充满欢乐的；引起大笑的
hinder ['hində] v.阻碍，妨碍
hinge [hindʒ] n.铰链；节点，枢轴
hirsute ['hə:sju:t] a.多毛的
hiss [his] v.（表示不赞成或不满某人）作嘘声；(蛇等)发出嘶嘶声
histology [his'tɔlədʒi] n.细胞组织学
histrionic [,histri'ɔnik] a.[贬]做作的，演戏的；表演的，剧院的
hitherto [,hiðə'tu:] adv.到目前为止
hive [haiv] n.蜂房；忙碌之地
hoard [hɔ:d] v./n.贮藏，秘藏
hoary ['hɔ:ri] a.(头发)灰白的；古老的
hoax [həuks] n./v.骗局，欺骗
hodgepodge ['hɔdʒpɔdʒ] n.混淆，杂烩
hoe [həu] n.锄头
hoist [hɔist] v.吊高，升起；n.起重机
hold [həuld] n.(船)货舱
holster ['həulstə] n.手枪皮套
homage ['hɔmidʒ] n.（向伟人表示的）崇敬
homeostasis [,həumiəu'steisis] n.体内平衡，自我平衡
homiletics [,hɔmi'letiks] n.讲道术，说教术
homogeneity [,hɔməudʒe'ni:iti] n.同种，同质
homogeneous [,hɔməu'dʒi:njəs] a.同类的，相似的
homogenize [hə'mɔdʒənaiz] v.(液体)使匀质，使均匀，使一致
hone [həun] n.磨刀石；v.磨刀
honorarium [,ɔnə'reəriəm] n.酬劳金，谢礼
hoodwink ['hudwiŋk] v.蒙混，欺骗
hoof [hu:f] n.(牛马的)蹄
hoop [hu:p] n.(桶之)箍，铁环
horizontal [,hɔri'zɔntl] a.水平的
hormone ['hɔ:məun] n.荷尔蒙，激素
horn [hɔ:n] n.（动物的）角，角质；喇叭
horrific [hɔ'rifik] a.可怕的
hortative ['hɔ:tətiv] a.激励的
horticulture ['hɔ:tikʌltʃə] n.园艺学(gradening)
hospitable ['hɔspitəbl] a.豁达的，好客的
hostile ['hɔstail] a.敌对的，敌意的
hostility [hɔs'tiliti] n.敌对，不友好，憎恨
hovel ['hɔvəl] n.（贬）茅舍；肮脏的小屋
hover ['hɔvə] v.翱翔；(人)徘徊
hub [hʌb] n.轴心；中心
hubris ['hju:bris] n.过分自傲，目中无人
huckster ['hʌkstə] n.叫卖小贩，零售商
hue [hju:] n.色彩，色泽
hulk [hʌlk] n.废船壳；笨重之人或物
hull [hʌl] n.外壳；荚；船身；v.剥去外壳
humane [hju:'mein] a.人道的，慈悲的
humble ['hʌmbl] a.（人）出身卑微的；谦虚的；v.使谦卑
humdrum ['hʌmdrʌm] a.单调的，乏味的
humid ['hju:mid] a.湿润的
humidity [hju:'miditi] n.湿度，湿气
humiliate [hju(:)'milieit] v.使屈辱
humility [hju(:)'militi] n.谦逊，谦恭
humor ['hju:mə] v.纵容，迁就
hunch [hʌntʃ] n.直觉，预感
hurdle ['hə:dl] n.跳栏；障碍；v.克服(障碍)
hurl [hə:l] v.猛投；大声叫骂
hurricane ['hʌrikən] n.飓风
husband ['hʌzbənd] v.妥善而又节约地管理；做„的丈夫
husbandry ['hʌzbəndri] n.耕种，务农；节敛管理
hush [hʌʃ] v./n.肃静，安静
husk [hʌsk] n.（没价值的）外壳；(种子、果实的)外壳、皮、荚
husky ['hʌski] a.声音沙哑的
hybrid ['haibrid] n.杂交的动植物；混血人
hydrant ['haidrənt] n.(消防)水龙头，消防栓
hydrate ['haidreit] n.水化物；v.水化
hymn [him] n.赞美诗
hyperactivity [,haipəræk'tivəti] n.活动过强，极度亢奋
hyperbole [hai'pə:bəli] n.（文）夸张法
hypertension [,haipə'tenʃən] n.高血压
hyphen ['haifən] n.连字号(即“-”)
hypnotic [hip'nɔtik] a.催眠的；n.催眠药
hypocrite ['hipəkrit] n.伪善者，伪君子
hypocritical [,hipə'kritikəl] a.虚伪的
hypotenuse [hai'pɔtinju:z] n.(直角三角形的)斜边
hypothesis [hai'pɔθisis] n.假设，假说
hypothetical [,haipəu'θetikəl] a.假设的
hysteria [his'tiəriə] n.歇斯底里症
icicle ['aisikl] n.冰柱，冰垂
icon ['aikɔn] n.圣像，偶像
iconoclast [ai'kɔnəklæst] n.攻击传统观念或风俗的人
iconoclastic [ai,kɔnə'klæstik] a.对传统观念(或惯例)进行攻击的
ideology [,aidi'ɔlədʒi] n.思想体系，思想意识，意识形态
idiom ['idiəm] n.习语，语言的习惯用法；特色
idle ['aidl] a.(指人)无所事事的；无效的；v.懒散，无所事事
idolater [ai'dɔlətə] n.神像(偶像)崇拜者
idyll ['idil] n.田园生活；田园诗
igneous ['iɡniəs] a.火的，含火的
ignite [iɡ'nait] v.发光；点燃，燃烧
ignoble [iɡ'nəubl] a.卑鄙的
ignominious [iɡnə'miniəs] a.可耻的；耻辱的
ignominy ['iɡnəmini] n.羞耻，屈辱
ignorant ['iɡnərənt] a.无知的，愚昧的
illegal [i'li:ɡəl] a.违法的
illegitimate [,ili'dʒitimit] a.不合法的；私生的
illicit [i'lisit] a.违法的
illiterate [i'litərit] a.文盲的
illuminate [i'lju:mineit] v.阐明，解释；照亮
illuminati [i,lu:mi'nɑ:ti] n.先觉者，智者
illusion [i'lu:ʒən] n.假象，错觉
illusive [i'lu:siv] a.迷惑人的，迷幻的
illusory [i'lu:səri] a.虚幻的
illustrate ['iləstreit] v.为„作插图或图表；说明，阐明
imbibe [im'baib] v.饮；吸入
imbroglio [im'brəuliəu] n.纠纷，误解；(政治或感情上的)错综复杂的局面
imbue [im'bju:] v.激发某人、使某人充满强烈的情感或意见
imitation [imi'teiʃən] n.赝品；效仿
imitative ['imitətiv] a.模仿的
immaculate [i'mækjulit] a.洁净的，无瑕的
immanent ['imənənt] a.内在的，天生的；(上帝)普遍存在的，无处不在的
immemorial [,imi'mɔ:riəl] a.太古的，极古的，无法追忆的
immense [i'mens] a.极大的；无限的
immensity [i'mənsiti] n.巨大之物；无限
immerse [i'mə:s] v.浸入；沉浸于
imminent ['iminənt] a.(尤指不愉快的事)即将发生的，逼近的
immolate ['iməuleit] v.牺牲，焚祭
immune [i'mju:n] a.免疫的；免除的
immunity [i'mju:niti] n.免疫；豁免
immunize [i'mju(:)naiz] v.使免疫
immure [i'mjuə] v.监禁
imp [imp] n.小鬼；顽童
impact ['impækt] n.冲击，影响
impair [im'peə] v.损害，使弱
impale [im'peil] v.刺入，刺中
